t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,wrench_sensor_0,wrench_sensor_1,wrench_sensor_2,wrench_sensor_3,wrench_sensor_4,wrench_sensor_5,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770916398.685824,0.518477,0.565189,0.426510,-0.549779,-0.109971,-0.234853,-0.000114,0.000298,-0.002395,-0.000000,0.000015,-0.000767,0.086345,0.009989,0.003974,-0.164448,0.156254,0.037164,0.035304,0.085981,-0.650252,-0.086345,-0.009989,0.496026,0.006832,0.007625,1.999276,18.274245,-14.571068,10.253718,0.504216,0.047634,-0.819457,-0.006832,-0.007625,0.000724,-0.019247,-0.006956,0.000316,0.000079,0.009257,0.008770,-0.000114,0.000297,-0.002392,-0.000000,0.000015,-0.000766
1770916428.785774,0.565379,0.659544,-0.012928,-0.455531,-0.596646,-0.359903,0.000108,0.000190,-0.002780,0.000000,-0.000256,-0.001380,0.091930,0.001074,0.003032,-0.164758,0.164913,-0.011464,0.008955,0.080259,-0.649777,-0.091930,-0.001074,0.496968,0.005522,0.007196,1.999026,19.743650,-13.520254,7.116151,0.464002,0.294697,-0.752502,-0.005522,-0.007196,0.000974,-0.016553,-0.007439,0.000310,0.000007,0.000512,0.006131,0.000108,0.000190,-0.002777,0.000000,-0.000256,-0.001379
1770916458.785868,0.628269,0.141307,0.205786,-0.376991,-0.942348,-0.376802,0.000049,0.000065,-0.001582,0.000000,-0.000130,-0.000189,0.103974,-0.000029,0.004122,-0.173515,0.174346,-0.028688,0.023107,0.066240,-0.648049,-0.103974,0.000029,0.495878,0.001272,0.007557,1.996235,22.341925,-11.419460,5.170225,0.375423,0.467252,-0.609571,-0.001272,-0.007557,0.003765,-0.009420,-0.012395,0.002488,-0.000000,-0.000883,0.008188,0.000049,0.000065,-0.001581,0.000000,-0.000130,-0.000188
1770916523.085778,0.345567,-0.219872,-0.613334,0.282743,-0.518405,-0.329403,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000464,0.039523,-0.009991,-0.003612,-0.102617,0.117350,-0.027972,-0.049578,-0.235988,-0.600975,-0.039523,0.009991,0.503612,0.003981,-0.008459,2.001432,-8.258496,-1.522787,23.717024,0.053958,-1.597150,-0.092748,-0.003981,0.008459,-0.001432,0.001203,0.018682,-0.000681,0.000072,-0.009688,-0.007605,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000463
1770916553.085781,0.502628,-0.314270,0.189704,-0.424115,-0.518284,-0.235057,0.000027,0.000111,-0.001208,-0.000000,-0.000078,-0.000563,0.075497,0.006124,0.009133,-0.149997,0.141970,-0.008304,0.049122,-0.209032,-0.610372,-0.075497,-0.006124,0.490867,-0.009493,0.003867,1.997864,11.758581,-1.188230,22.585366,0.025500,-0.835728,-0.033262,0.009493,-0.003867,0.002136,0.013098,-0.015866,0.000860,0.000112,0.004724,0.018657,0.000027,0.000111,-0.001207,-0.000000,-0.000078,-0.000562
1770916620.985797,-0.329859,-0.753902,-0.441079,0.125664,-0.486952,0.267226,-0.000008,-0.000080,0.001256,0.000000,0.000005,-0.000191,0.028409,-0.009985,-0.002144,-0.085754,0.102200,-0.028650,-0.047640,-0.341756,-0.548060,-0.028409,0.009985,0.502144,0.000172,-0.006111,2.000477,-15.228895,-6.578600,19.179131,0.220500,-1.559861,-0.360992,-0.000172,0.006111,-0.000477,0.005580,0.010874,-0.000112,0.000043,-0.009849,-0.004566,-0.000008,-0.000080,0.001255,0.000000,0.000005,-0.000191
1770916672.685776,0.675440,0.094269,-0.612471,-0.125664,-1.115263,0.361338,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055,0.081276,0.009986,0.005433,-0.151722,0.139831,-0.037199,0.069648,-0.273146,-0.584266,-0.081276,-0.009986,0.494567,-0.007684,0.007158,1.997740,13.794014,7.999800,19.632811,-0.270832,-0.608016,0.436362,0.007684,-0.007158,0.002260,0.006747,-0.019987,0.000570,0.000108,0.009062,0.011628,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055
1770916717.885779,-0.455521,-0.486991,0.534465,-0.204204,-0.031417,-0.408402,-0.000010,0.000044,-0.000395,-0.000000,0.000001,-0.000005,0.010645,0.009993,-0.005510,-0.084576,0.062837,0.067533,-0.036824,-0.188131,-0.618352,-0.010645,-0.009993,0.505510,0.008128,-0.011820,2.000267,2.100228,-0.809938,25.537614,0.022048,-1.312548,-0.040079,-0.008128,0.011820,-0.000267,-0.002776,0.028527,0.000065,-0.000110,0.010100,-0.010902,-0.000010,0.000044,-0.000394,-0.000000,0.000001,-0.000005
1770916747.885787,-0.549766,0.314188,-0.581420,-0.376991,-0.141387,0.470834,-0.000013,-0.000029,0.000225,-0.000000,0.000015,0.000405,0.012936,-0.000307,-0.000028,-0.078774,0.081633,0.051395,-0.055676,-0.193338,-0.615903,-0.012936,0.000307,0.500028,0.007515,-0.003321,2.003162,-3.096273,1.107092,24.938094,-0.036466,-1.505854,0.074753,-0.007515,0.003321,-0.003162,-0.009995,0.013062,-0.002993,0.000000,-0.000306,-0.000059,-0.000013,-0.000028,0.000225,-0.000000,0.000015,0.000405
1770916813.985754,0.094166,0.361083,0.190148,0.314159,-0.062848,0.487041,0.000082,0.000200,-0.001653,0.000000,0.000016,-0.000094,0.052435,0.009989,0.003228,-0.138349,0.126779,0.058310,-0.018245,0.160295,-0.665234,-0.052435,-0.009989,0.496772,0.000233,0.005756,1.999396,10.071487,11.469068,20.563433,-0.387401,-0.780126,0.621658,-0.000233,-0.005756,0.000604,-0.005883,-0.009909,0.000143,0.000064,0.009628,0.006963,0.000082,0.000200,-0.001651,0.000000,0.000016,-0.000094
