t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770738502.992276,0.502657,-0.078534,-0.565434,0.267035,-1.036723,0.219907,-0.000003,-0.000006,-0.000053,0.000000,-0.000003,0.000005,0.059466,-0.003536,0.006985,-0.132951,0.136878,-0.016494,-0.028060,-0.160079,-0.625149,-0.059466,0.003536,0.493015,-0.006865,0.008558,1.999844,0.006865,-0.008558,0.000156,0.003989,-0.021527,-0.001111,-0.000049,-0.004355,0.013722,-0.000003,-0.000006,-0.000053,0.000000,-0.000003,0.000005
1770738575.192196,-0.110089,-0.001048,0.589676,-0.659734,-0.376330,0.446539,0.000134,0.001048,-0.008481,-0.000000,-0.000661,-0.006716,0.041135,0.009981,0.001734,-0.128985,0.116451,0.066600,-0.036873,0.236609,-0.687749,-0.041135,-0.009981,0.498266,0.001928,0.000570,2.000049,-0.001928,-0.000570,-0.000049,-0.003928,0.000841,0.000025,0.000035,0.009820,0.003871,0.000134,0.001047,-0.008473,-0.000000,-0.000661,-0.006710
1770738639.492218,0.596902,0.534081,-0.738011,0.015708,-0.722569,0.769784,0.000000,-0.000010,-0.000263,0.000000,0.000003,-0.000094,0.074671,-0.009996,-0.002441,-0.142422,0.153386,-0.044915,-0.035016,-0.123961,-0.633168,-0.074671,0.009996,0.502441,-0.002324,0.005009,1.999201,0.002324,-0.005009,0.000799,-0.000758,-0.011035,-0.000032,0.000049,-0.009595,-0.005609,0.000000,-0.000010,-0.000263,0.000000,0.000003,-0.000093
1770738714.992159,-0.282657,0.156869,0.411580,0.282743,-0.958056,-0.598108,-0.000086,0.000211,-0.003173,0.000000,-0.000129,0.001205,0.007700,0.009996,-0.000529,-0.084819,0.063846,0.071878,-0.045265,0.274829,-0.702052,-0.007700,-0.009996,0.500529,0.005797,-0.005886,2.000057,-0.005797,0.005886,-0.000057,-0.004518,0.015876,0.000110,-0.000011,0.009994,-0.000981,-0.000086,0.000210,-0.003170,0.000000,-0.000129,0.001204
1770738744.992215,-0.376856,0.564141,0.703206,-0.172788,-0.078524,0.316872,-0.000135,0.001346,-0.012056,-0.000000,-0.000016,-0.002713,0.008549,0.003073,0.000253,-0.079679,0.075066,0.062780,-0.056816,0.283472,-0.705124,-0.008549,-0.003073,0.499747,0.005562,-0.001369,2.002798,-0.005562,0.001369,-0.002798,-0.008451,0.007750,-0.002703,0.000002,0.003066,0.000531,-0.000135,0.001345,-0.012044,-0.000000,-0.000016,-0.002710
1770738775.092163,-0.251304,0.439802,0.267195,-0.769690,-0.047125,-0.754197,-0.000024,0.000021,-0.000160,-0.000000,0.000001,0.000215,0.018404,-0.002292,0.004470,-0.092690,0.097737,0.055527,-0.063598,0.273334,-0.701934,-0.018404,0.002292,0.495530,0.003026,0.003243,1.996298,-0.003026,-0.003243,0.003702,-0.008408,-0.002892,0.003626,-0.000020,-0.002454,0.008887,-0.000024,0.000021,-0.000160,-0.000000,0.000001,0.000215
1770738805.192258,-0.518361,0.659741,0.031486,0.094248,-1.555088,0.471282,-0.000001,-0.000007,-0.000070,0.000000,-0.000001,-0.000043,-0.005662,-0.001067,-0.010809,-0.035290,0.041367,0.054945,-0.059036,0.269190,-0.699346,0.005662,0.001067,0.510809,0.005034,-0.005754,2.004950,-0.005034,0.005754,-0.004950,-0.003147,0.014918,-0.005033,0.000023,-0.001189,-0.021591,-0.000001,-0.000007,-0.000070,0.000000,-0.000001,-0.000043
1770738835.292159,0.565584,-0.141558,0.238058,0.612611,-0.879335,-0.488353,-0.000097,0.000187,-0.002438,0.000000,-0.000311,0.001406,0.075489,-0.008811,0.033502,-0.155928,0.165635,0.038298,-0.067738,0.208772,-0.679622,-0.075489,0.008811,0.466498,-0.007284,0.021804,1.984009,0.007284,-0.021804,0.015991,-0.006736,-0.046526,0.012442,-0.000589,-0.013825,0.066081,-0.000097,0.000186,-0.002436,0.000000,-0.000310,0.001404
1770738917.592276,-0.157074,-0.329851,-0.298565,-0.518363,-0.047129,0.329592,-0.000005,-0.000016,0.000114,-0.000000,0.000005,0.000275,0.029722,-0.009987,-0.001802,-0.093106,0.107770,-0.010523,-0.053242,-0.240461,-0.599505,-0.029722,0.009987,0.501802,-0.003852,-0.003412,2.000142,0.003852,0.003412,-0.000142,0.010027,0.002274,0.000025,0.000036,-0.009866,-0.003895,-0.000005,-0.000016,0.000114,-0.000000,0.000005,0.000275
1770738947.692173,0.486943,0.392692,-0.643888,-0.361283,-0.518350,0.094348,0.000004,0.000007,-0.000139,0.000000,-0.000012,-0.000100,0.067335,0.003280,0.009387,-0.141585,0.136093,-0.018558,0.043241,-0.227703,-0.603374,-0.067335,-0.003280,0.490613,-0.012883,0.007589,2.000922,0.012883,-0.007589,-0.000922,0.015557,-0.025379,-0.002686,0.000061,0.002007,0.018933,0.000004,0.000007,-0.000139,0.000000,-0.000012,-0.000100
1770739011.492199,0.738336,0.046951,0.568023,0.235619,-1.476516,0.518770,-0.000061,0.000173,-0.002536,0.000000,-0.000032,-0.000408,0.106026,0.009991,0.005181,-0.178893,0.169529,0.016396,0.054715,-0.056715,-0.641856,-0.106026,-0.009991,0.494819,-0.004563,0.008426,1.997505,0.004563,-0.008426,0.002495,0.000053,-0.019300,0.000452,0.000103,0.008830,0.011348,-0.000061,0.000173,-0.002533,0.000000,-0.000032,-0.000407
1770739045.792241,-0.486950,-0.408410,-0.345624,0.329867,-1.068146,-0.329844,0.000003,0.000003,0.000049,0.000000,0.000004,-0.000023,0.004765,-0.009993,-0.029155,-0.037451,0.072569,0.026511,-0.067576,-0.165918,-0.626916,-0.004765,0.009993,0.529155,0.019991,-0.018951,1.990112,-0.019991,0.018951,0.009888,-0.015463,0.052801,0.009976,0.000582,-0.009706,-0.058296,0.000003,0.000003,0.000049,0.000000,0.000004,-0.000023
1770739075.892220,-0.738234,-0.486970,0.314785,0.282743,-1.445111,-0.549958,-0.000040,0.000023,-0.000626,-0.000000,-0.000022,0.000180,-0.026179,0.007457,-0.013035,0.049433,-0.070555,0.078167,-0.059797,-0.100965,-0.637561,0.026179,-0.007457,0.513035,0.009861,-0.022912,2.001773,-0.009861,0.022912,-0.001773,0.005291,0.049491,-0.003107,-0.000194,0.006765,-0.026230,-0.000040,0.000023,-0.000625,-0.000000,-0.000022,0.000179
1770739158.892147,-0.157245,-0.016256,0.728934,-0.424115,-1.287824,-0.078027,0.000166,0.000549,-0.006368,-0.000000,-0.000229,-0.000512,0.041477,0.009989,0.002371,-0.131798,0.120022,0.069932,-0.043881,0.289977,-0.707918,-0.041477,-0.009989,0.497629,0.002490,0.005352,1.999843,-0.002490,-0.005352,0.000157,-0.009474,-0.007027,-0.000040,0.000047,0.009774,0.005146,0.000165,0.000548,-0.006362,-0.000000,-0.000229,-0.000512
1770739237.892261,-0.062834,0.015740,-0.455918,0.078540,-0.329861,0.596932,0.000002,-0.000032,0.000387,0.000000,-0.000006,-0.000029,0.035569,-0.009993,-0.001810,-0.103615,0.117628,0.013367,-0.057262,-0.111328,-0.636181,-0.035569,0.009993,0.501810,-0.001572,-0.000946,1.999877,0.001572,0.000946,0.000123,0.003661,0.000141,0.000164,0.000036,-0.009848,-0.003969,0.000002,-0.000032,0.000386,0.000000,-0.000006,-0.000029
