t,current_joint_0,current_joint_1,current_joint_2,current_joint_3,current_joint_4,current_joint_5,nominal_err_0,nominal_err_1,nominal_err_2,nominal_err_3,nominal_err_4,nominal_err_5,rpy_err_0,rpy_err_1,rpy_err_2,setpoints_0,setpoints_1,setpoints_2,setpoints_3,setpoints_4,setpoints_5,vehicle_rpy_0,vehicle_rpy_1,vehicle_rpy_2,vehicle_xyz_0,vehicle_xyz_1,vehicle_xyz_2,xyz_err_0,xyz_err_1,xyz_err_2,zeta_0,zeta_1,zeta_2,zeta_3,zeta_4,zeta_5,zeta_6,zeta_7,zeta_8,zeta_9,zeta_10,zeta_11
1770722627.999644,0.518477,0.565189,0.426510,-0.549779,-0.109971,-0.234853,-0.000114,0.000298,-0.002394,-0.000000,0.000015,-0.000767,0.086343,0.009986,0.004029,-0.164504,0.156157,0.037744,0.035383,0.085522,-0.650325,-0.086343,-0.009986,0.495971,0.006620,0.006942,1.999014,-0.006620,-0.006942,0.000986,-0.018223,-0.005982,0.000654,0.000080,0.009245,0.008879,-0.000114,0.000297,-0.002392,-0.000000,0.000015,-0.000766
1770722658.012292,0.565379,0.659544,-0.012922,-0.455531,-0.596646,-0.359900,0.000108,0.000191,-0.002786,0.000000,-0.000257,-0.001383,0.092037,0.001729,0.000688,-0.163811,0.164312,-0.019285,0.014408,0.120037,-0.641865,-0.092037,-0.001729,0.499312,0.004580,0.009270,2.104443,-0.004580,-0.009270,-0.104443,-0.017083,-0.002242,-0.104960,0.000002,0.001594,0.001527,0.000108,0.000191,-0.002783,0.000000,-0.000257,-0.001382
1770722688.112288,0.628269,0.141307,0.205786,-0.376991,-0.942348,-0.376802,0.000049,0.000065,-0.001582,0.000000,-0.000130,-0.000189,0.103992,0.000135,0.004296,-0.173420,0.174139,-0.028429,0.023622,0.051310,-0.648658,-0.103992,-0.000135,0.495704,0.002185,0.005914,1.979602,-0.002185,-0.005914,0.020398,-0.009457,-0.010387,0.019406,0.000001,-0.000756,0.008551,0.000049,0.000065,-0.001581,0.000000,-0.000130,-0.000188
1770722752.112285,0.345567,-0.219872,-0.613334,0.282743,-0.518405,-0.329403,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000464,0.039523,-0.009991,-0.003640,-0.102440,0.117293,-0.027843,-0.049882,-0.236021,-0.600981,-0.039523,0.009991,0.503640,0.004238,-0.008735,2.000965,-0.004238,0.008735,-0.000965,0.001017,0.019394,-0.000188,0.000073,-0.009686,-0.007661,0.000008,-0.000040,0.000723,0.000000,0.000042,-0.000463
1770722782.212288,0.502628,-0.314270,0.189704,-0.424115,-0.518284,-0.235057,0.000027,0.000111,-0.001208,-0.000000,-0.000078,-0.000563,0.075496,0.006115,0.009082,-0.149911,0.141972,-0.008615,0.048905,-0.209005,-0.610394,-0.075496,-0.006115,0.490918,-0.009330,0.003739,1.997969,0.009330,-0.003739,0.002031,0.012930,-0.015480,0.000784,0.000111,0.004723,0.018555,0.000027,0.000111,-0.001207,-0.000000,-0.000078,-0.000562
1770722850.112345,-0.329859,-0.753902,-0.441079,0.125664,-0.486952,0.267226,-0.000008,-0.000080,0.001256,0.000000,0.000005,-0.000191,0.028409,-0.009995,-0.002147,-0.085757,0.102203,-0.028642,-0.047646,-0.341746,-0.548066,-0.028409,0.009995,0.502147,0.000198,-0.006140,2.000484,-0.000198,0.006140,-0.000484,0.005563,0.010951,-0.000117,0.000043,-0.009859,-0.004571,-0.000008,-0.000080,0.001255,0.000000,0.000005,-0.000191
1770722901.812232,0.675440,0.094269,-0.612471,-0.125664,-1.115263,0.361338,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055,0.081275,0.009985,0.005429,-0.151747,0.139842,-0.037184,0.069673,-0.273131,-0.584275,-0.081275,-0.009985,0.494571,-0.007673,0.007157,1.997740,0.007673,-0.007157,0.002260,0.006728,-0.019976,0.000571,0.000108,0.009061,0.011622,0.000003,-0.000021,-0.000140,-0.000000,-0.000002,-0.000055
1770722947.012292,-0.455521,-0.486991,0.534465,-0.204204,-0.031417,-0.408402,-0.000010,0.000044,-0.000395,-0.000000,0.000001,-0.000005,0.010645,0.009996,-0.005517,-0.084589,0.062889,0.067518,-0.036854,-0.188098,-0.618360,-0.010645,-0.009996,0.505517,0.008140,-0.011824,2.000272,-0.008140,0.011824,-0.000272,-0.002791,0.028546,0.000061,-0.000110,0.010102,-0.010916,-0.000010,0.000044,-0.000394,-0.000000,0.000001,-0.000005
1770722977.012299,-0.549766,0.314188,-0.581420,-0.376991,-0.141387,0.470834,-0.000013,-0.000029,0.000225,-0.000000,0.000015,0.000405,0.012936,-0.000314,-0.000027,-0.078779,0.081643,0.051383,-0.055672,-0.193300,-0.615914,-0.012936,0.000314,0.500027,0.007525,-0.003319,2.003166,-0.007525,0.003319,-0.003166,-0.010014,0.013069,-0.002997,0.000000,-0.000313,-0.000057,-0.000013,-0.000028,0.000225,-0.000000,0.000015,0.000405
1770723043.112239,0.094166,0.361083,0.190148,0.314159,-0.062848,0.487041,0.000082,0.000200,-0.001653,0.000000,0.000016,-0.000094,0.052435,0.009988,0.003227,-0.138360,0.126789,0.058309,-0.018222,0.160331,-0.665242,-0.052435,-0.009988,0.496773,0.000235,0.005758,1.999398,-0.000235,-0.005758,0.000602,-0.005890,-0.009911,0.000141,0.000064,0.009627,0.006962,0.000082,0.000200,-0.001651,0.000000,0.000016,-0.000094
1770723073.112336,-0.706943,-0.392916,0.537209,-0.361283,-1.005192,-0.706905,0.000085,0.000217,-0.003138,-0.000000,-0.000118,0.000047,-0.012181,0.005250,-0.024658,0.002602,-0.037883,0.062176,-0.049373,0.187651,-0.673457,0.012181,-0.005250,0.524658,0.013326,-0.014221,1.994695,-0.013326,0.014221,0.005305,-0.008784,0.037992,0.004883,-0.000258,0.004644,-0.049326,0.000085,0.000216,-0.003135,-0.000000,-0.000118,0.000047
1770723126.812265,-0.062832,-0.329869,-0.581206,0.109956,-1.193805,0.706852,0.000000,0.000002,0.000011,0.000000,0.000000,0.000007,0.033466,-0.009983,0.001069,-0.101056,0.116051,0.013947,-0.058738,-0.131002,-0.632452,-0.033466,0.009983,0.498931,-0.000004,0.003753,2.000038,0.000004,-0.003753,-0.000038,-0.003581,-0.006581,-0.000294,-0.000021,-0.010039,0.001801,0.000000,0.000002,0.000011,0.000000,0.000000,0.000007
